City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,shache,38.4167,77.2406,30.05,17,{'all': 0},2.98,CN,1691506800
156,fort stockton,30.894,-102.8793,30.51,50,{'all': 0},4.67,US,1691506800
157,arraial do cabo,-22.9661,-42.0278,22.92,88,{'all': 75},7.78,BR,1691506800
158,iskateley,67.6803,53.1512,16.98,52,{'all': 62},3.46,RU,1691506800
159,san patricio,28.017,-97.5169,32.42,53,{'all': 0},6.57,US,1691506800
160,wagar,16.1525,36.2032,33.93,43,{'all': 75},3.69,SD,1691506800
161,adilabad,19.6667,78.5333,25.96,80,{'all': 100},3.08,IN,1691506800
162,antofagasta,-23.65,-70.4,19.9,61,{'all': 10},2.92,CL,1691506800
163,flying fish cove,-10.4217,105.6791,25.02,83,{'all': 100},7.66,CX,1691506800
164,sisimiut,66.9395,-53.6735,9.05,60,{'all': 35},2.19,GL,1691506800
165,kaga bandoro,6.9896,19.1874,25.37,91,{'all': 96},0.9,CF,1691506800
166,avarua,-21.2078,-159.775,21.56,82,{'all': 20},5.11,CK,1691506800
167,charters towers,-20.1,146.2667,14.08,86,{'all': 95},3.21,AU,1691506800
168,puerto gaitan,4.3133,-72.0816,28.96,71,{'all': 49},3.41,CO,1691506800
169,ad dilam,23.9915,47.1627,46.23,5,{'all': 1},4.28,SA,1691506800
170,kingston,17.997,-76.7936,34.28,67,{'all': 20},1.99,JM,1691506800
171,guanica,17.9716,-66.908,31.02,63,{'all': 11},4.4,PR,1691506800
172,manakara,-22.1333,48.0167,20.85,84,{'all': 94},1.91,MG,1691506800
173,yamada,39.4667,141.95,24.77,96,{'all': 90},3.96,JP,1691506800
174,alesund,62.4723,6.1549,13.89,99,{'all': 75},5.05,NO,1691506800
175,harstad,68.799,16.5293,24.11,78,{'all': 8},4.28,NO,1691506800
176,kenai,60.5544,-151.2583,11.89,95,{'all': 100},2.44,US,1691506800
177,urzhar,47.093,81.6294,20.88,71,{'all': 96},2.74,KZ,1691506800
178,aras-asan,8.8908,126.3033,26.93,84,{'all': 100},1.62,PH,1691506800
179,lata,40.1629,-8.3327,38.46,20,{'all': 0},5.4,PT,1691506800
180,dul'durga,50.6761,113.5931,16.16,71,{'all': 71},0.65,RU,1691506800
181,carnarvon,-24.8667,113.6333,19.14,86,{'all': 19},7.23,AU,1691506800
182,sittwe,20.15,92.9,25.77,88,{'all': 100},3.67,MM,1691506800
183,chu,43.5983,73.7614,24.33,47,{'all': 64},0.97,KZ,1691506800
184,saipan,15.1355,145.701,28.49,100,{'all': 75},2.12,MP,1691506800
185,mount gambier,-37.8333,140.7667,6.17,82,{'all': 20},3.59,AU,1691506800
186,san antonio de pale,-1.4014,5.6325,23.43,76,{'all': 25},5.34,GQ,1691506800
187,higuera de zaragoza,25.95,-109.2833,32.77,60,{'all': 1},4.31,MX,1691506800
188,asekeyevo,53.5742,52.7972,25.7,38,{'all': 9},6.8,RU,1691506800
189,deqen,29.9618,90.7188,14.29,75,{'all': 100},1.94,CN,1691506800
190,domna,51.8971,113.1573,15.87,93,{'all': 26},0.66,RU,1691506800
191,al kharijah,25.4514,30.5464,43.85,8,{'all': 2},4.33,EG,1691506800
192,dongkan,33.9997,119.8308,22.38,94,{'all': 40},2.04,CN,1691506800
193,qinzhou,21.95,108.6167,27.62,83,{'all': 35},4.52,CN,1691506800
194,guerrero negro,27.9769,-114.0611,24.89,77,{'all': 55},2.9,MX,1691506800
195,hamilton,39.1834,-84.5333,23.53,78,{'all': 0},2.48,US,1691506800
196,morehead city,34.7229,-76.726,28.92,76,{'all': 0},6.35,US,1691506800
197,namsos,64.4662,11.4957,24.95,69,{'all': 74},5.67,NO,1691506800
198,sao joao da barra,-21.6403,-41.0511,26.36,62,{'all': 0},9.64,BR,1691506800
199,xiva,41.3783,60.3639,33.46,23,{'all': 4},5.6,UZ,1691506800
200,mamuju,-2.6748,118.8885,25.54,85,{'all': 6},1.27,ID,1691506800
201,la sarre,48.8002,-79.1996,18.51,60,{'all': 96},3.61,CA,1691506800
202,puerto aysen,-45.4,-72.7,8.25,100,{'all': 75},2.36,CL,1691506800
203,anadyr,64.75,177.4833,10.0,81,{'all': 75},7.35,RU,1691506800
204,gulnar,36.3415,33.3992,28.73,37,{'all': 0},2.7,TR,1691506800
205,haiku-pauwela,20.9219,-156.3051,25.02,64,{'all': 0},11.11,US,1691506800
206,uacu cungo,-11.3634,15.1208,30.26,14,{'all': 0},1.2,AO,1691506800
207,alofi,-19.0595,-169.9187,24.06,100,{'all': 54},6.16,NU,1691506800
208,bhola,22.6833,90.65,26.73,85,{'all': 100},3.6,BD,1691506800
209,vorgashor,67.5833,63.95,12.57,73,{'all': 100},4.84,RU,1691506800
210,kourou,5.1552,-52.6478,31.12,58,{'all': 20},4.02,GF,1691506800
211,nelson bay,-32.7167,152.15,13.63,96,{'all': 2},0.98,AU,1691506800
212,port alfred,-33.5906,26.891,18.43,76,{'all': 99},9.1,ZA,1691506800
213,morgan city,29.6994,-91.2068,33.57,84,{'all': 0},3.99,US,1691506800
214,blackburn,53.75,-2.4833,17.22,65,{'all': 100},5.52,GB,1691506800
215,cururupu,-1.8283,-44.8683,28.73,74,{'all': 28},4.17,BR,1691506800
216,sotouboua,8.5667,0.9833,26.84,80,{'all': 87},3.71,TG,1691506800
217,dunedin,-45.8742,170.5036,6.0,70,{'all': 97},5.75,NZ,1691506800
218,saint-philippe,-21.3585,55.7679,22.77,76,{'all': 43},4.88,RE,1691506800
219,taytay,14.5678,121.1394,28.74,88,{'all': 40},3.9,PH,1691506800
220,nieuw amsterdam,5.8833,-55.0833,31.29,75,{'all': 55},1.79,SR,1691506800
221,namibe,-15.1961,12.1522,20.32,75,{'all': 8},3.99,AO,1691506800
222,tura,25.5198,90.2201,23.81,98,{'all': 100},2.61,IN,1691506800
